date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:11:56	399/399	---M--	200	added ('OK')	text/plain	etag:%22249696b-361-4c98f24d09b80%22	http://vmdstavby.cz/robots.txt		(from )
23:11:57	19159/19159	---M--	200	added ('OK')	text/html	date:Thu,%2018%20Apr%202013%2021:11:51%20GMT	http://vmdstavby.cz/	C:/vmdStavby/VMDStavby/vmdstavby.cz/index.html	(from )
23:11:57	5847/5847	---M--	200	added ('OK')	text/css	etag:%2224a45b9-16d7-4c20b37e49a40%22	http://vmdstavby.cz/modules/mod_jp_smooth_gallery/smooth_gallery/jd.gallery.css	C:/vmdStavby/VMDStavby/vmdstavby.cz/modules/mod_jp_smooth_gallery/smooth_gallery/jd.gallery.css	(from )
23:11:57	33/33	---M--	200	added ('OK')	text/css	etag:%2224a45b7-21-4c20b37e49a40%22	http://vmdstavby.cz/modules/mod_jp_smooth_gallery/smooth_gallery/layout.css	C:/vmdStavby/VMDStavby/vmdstavby.cz/modules/mod_jp_smooth_gallery/smooth_gallery/layout.css	(from )
23:11:58	4784/4784	---M--	200	added ('OK')	application/javascript	etag:%22249a386-12b0-4c98f24d09b80%22	http://vmdstavby.cz/media/system/js/core.js	C:/vmdStavby/VMDStavby/vmdstavby.cz/media/system/js/core.js	(from )
23:11:58	729/729	---M--	200	added ('OK')	application/javascript	etag:%22249a382-2d9-4c203a0c81440%22	http://vmdstavby.cz/media/system/js/caption.js	C:/vmdStavby/VMDStavby/vmdstavby.cz/media/system/js/caption.js	(from )
23:11:58	2730/2730	---M--	200	added ('OK')	text/css	etag:%22249a6c8-aaa-4c203a79394c0%22	http://vmdstavby.cz/templates/system/css/general.css	C:/vmdStavby/VMDStavby/vmdstavby.cz/templates/system/css/general.css	(from )
23:11:59	8026/8026	---M--	200	added ('OK')	text/css	etag:%2224a4633-1f5a-4c20b27dbfd00%22	http://vmdstavby.cz/templates/jp_lofthouse/css/layout.css	C:/vmdStavby/VMDStavby/vmdstavby.cz/templates/jp_lofthouse/css/layout.css	(from )
23:11:59	19409/19409	---M--	200	added ('OK')	text/css	etag:%2224a4636-4bd1-4c20b27dbfd00%22	http://vmdstavby.cz/templates/jp_lofthouse/css/template.css	C:/vmdStavby/VMDStavby/vmdstavby.cz/templates/jp_lofthouse/css/template.css	(from )
23:11:59	181/181	---M--	200	added ('OK')	text/css	etag:%2224a4639-b5-4c20b27dbfd00%22	http://vmdstavby.cz/templates/jp_lofthouse/css/left_main_right.css	C:/vmdStavby/VMDStavby/vmdstavby.cz/templates/jp_lofthouse/css/left_main_right.css	(from )
23:11:59	27248/27248	---M--	200	added ('OK')	application/javascript	etag:%2224a45b8-6a70-4c20b37e49a40%22	http://vmdstavby.cz/modules/mod_jp_smooth_gallery/smooth_gallery/jd.gallery.js	C:/vmdStavby/VMDStavby/vmdstavby.cz/modules/mod_jp_smooth_gallery/smooth_gallery/jd.gallery.js	(from )
23:11:59	2291/2291	---M--	200	added ('OK')	text/css	etag:%2224a462f-8f3-4c20b27dbfd00%22	http://vmdstavby.cz/templates/jp_lofthouse/css/menu.css	C:/vmdStavby/VMDStavby/vmdstavby.cz/templates/jp_lofthouse/css/menu.css	(from )
23:12:00	4646/4646	---M--	200	added ('OK')	text/css	etag:%2224a4637-1226-4c20b27dbfd00%22	http://vmdstavby.cz/templates/jp_lofthouse/css/suckerfish.css	C:/vmdStavby/VMDStavby/vmdstavby.cz/templates/jp_lofthouse/css/suckerfish.css	(from )
23:12:00	96362/96362	---M--	200	added ('OK')	application/javascript	etag:%22249a38f-1786a-4c98f24d09b80%22	http://vmdstavby.cz/media/system/js/mootools-core.js	C:/vmdStavby/VMDStavby/vmdstavby.cz/media/system/js/mootools-core.js	(from )
23:12:00	2037/2037	---M--	200	added ('OK')	text/css	etag:%2224a4631-7f5-4c20b27dbfd00%22	http://vmdstavby.cz/templates/jp_lofthouse/css/module.css	C:/vmdStavby/VMDStavby/vmdstavby.cz/templates/jp_lofthouse/css/module.css	(from )
23:12:00	3560/3560	---M--	200	added ('OK')	text/css	etag:%2224a4634-de8-4c20b27dbfd00%22	http://vmdstavby.cz/templates/jp_lofthouse/css/jp_typo.css	C:/vmdStavby/VMDStavby/vmdstavby.cz/templates/jp_lofthouse/css/jp_typo.css	(from )
23:12:00	754/754	---M--	200	added ('OK')	text/css	etag:%2224a4635-2f2-4c20b27dbfd00%22	http://vmdstavby.cz/templates/jp_lofthouse/css/css3.css	C:/vmdStavby/VMDStavby/vmdstavby.cz/templates/jp_lofthouse/css/css3.css	(from )
23:12:01	4627/4627	---M--	200	added ('OK')	application/javascript	etag:%2224a4727-1213-4c20b27dbfd00%22	http://vmdstavby.cz/templates/jp_lofthouse/js/slimbox.js	C:/vmdStavby/VMDStavby/vmdstavby.cz/templates/jp_lofthouse/js/slimbox.js	(from )
23:12:01	1937/1937	---M--	200	added ('OK')	application/javascript	etag:%2224a4729-791-4c20b27dbfd00%22	http://vmdstavby.cz/templates/jp_lofthouse/js/moomenu.js	C:/vmdStavby/VMDStavby/vmdstavby.cz/templates/jp_lofthouse/js/moomenu.js	(from )
23:12:01	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:%2224a464f-47e-4c20b27dbfd00%22	http://vmdstavby.cz/templates/jp_lofthouse/images/favicon.ico	C:/vmdStavby/VMDStavby/vmdstavby.cz/templates/jp_lofthouse/images/favicon.ico	(from )
23:12:05	238331/238331	---MC-	200	added ('OK')	application/javascript	etag:%22249a391-3a2fb-4c98f24d09b80%22	http://vmdstavby.cz/media/system/js/mootools-more.js	C:/vmdStavby/VMDStavby/vmdstavby.cz/media/system/js/mootools-more.js	(from )
23:12:23	140019/140019	---M--	200	added ('OK')	image/jpeg	etag:%2224a49ea-222f3-4d9c877d55980%22	http://vmdstavby.cz/images/smooth_gallery/hlavni_04.jpg	C:/vmdStavby/VMDStavby/vmdstavby.cz/images/smooth_gallery/hlavni_04.jpg	(from )
23:12:23	130226/130226	---M--	200	added ('OK')	image/jpeg	etag:%2224a49e9-1fcb2-4d9c877f3de00%22	http://vmdstavby.cz/images/smooth_gallery/hlavni_03.jpg	C:/vmdStavby/VMDStavby/vmdstavby.cz/images/smooth_gallery/hlavni_03.jpg	(from )
23:12:24	141017/141017	---M--	200	added ('OK')	image/jpeg	etag:%2224a49e8-226d9-4d9c878126280%22	http://vmdstavby.cz/images/smooth_gallery/hlavni_02.jpg	C:/vmdStavby/VMDStavby/vmdstavby.cz/images/smooth_gallery/hlavni_02.jpg	(from )
23:12:24	122555/122555	---M--	200	added ('OK')	image/jpeg	etag:%2224a49f7-1debb-4d9c876395cc0%22	http://vmdstavby.cz/images/smooth_gallery/hlavni_15.jpg	C:/vmdStavby/VMDStavby/vmdstavby.cz/images/smooth_gallery/hlavni_15.jpg	(from )
23:12:42	120815/120815	---M--	200	added ('OK')	image/jpeg	etag:%2224a49f2-1d7ef-4d9c8771e3e80%22	http://vmdstavby.cz/images/smooth_gallery/hlavni_09.jpg	C:/vmdStavby/VMDStavby/vmdstavby.cz/images/smooth_gallery/hlavni_09.jpg	(from )
23:12:43	112687/112687	---M--	200	added ('OK')	image/jpeg	etag:%2224a49f8-1b82f-4d9c8761ad840%22	http://vmdstavby.cz/images/smooth_gallery/hlavni_16.jpg	C:/vmdStavby/VMDStavby/vmdstavby.cz/images/smooth_gallery/hlavni_16.jpg	(from )
23:12:43	111791/111791	---M--	200	added ('OK')	image/jpeg	etag:%2224a49f4-1b4af-4d9c876d1f340%22	http://vmdstavby.cz/images/smooth_gallery/hlavni_11.jpg	C:/vmdStavby/VMDStavby/vmdstavby.cz/images/smooth_gallery/hlavni_11.jpg	(from )
23:12:43	25336/25336	---M--	200	added ('OK')	text/html	date:Thu,%2018%20Apr%202013%2021:12:38%20GMT	http://vmdstavby.cz/index.php/stavbynaklic	C:/vmdStavby/VMDStavby/vmdstavby.cz/index.php/stavbynaklic.html	(from )
23:12:43	96569/96569	---M--	200	added ('OK')	text/html	date:Thu,%2018%20Apr%202013%2021:12:38%20GMT	http://vmdstavby.cz/index.php/typove-domy	C:/vmdStavby/VMDStavby/vmdstavby.cz/index.php/typove-domy.html	(from )
23:12:44	18569/18569	---M--	200	added ('OK')	text/html	date:Thu,%2018%20Apr%202013%2021:12:38%20GMT	http://vmdstavby.cz/index.php/projekty-na-zakazku	C:/vmdStavby/VMDStavby/vmdstavby.cz/index.php/projekty-na-zakazku.html	(from )
23:12:44	20349/20349	---M--	200	added ('OK')	text/html	date:Thu,%2018%20Apr%202013%2021:12:39%20GMT	http://vmdstavby.cz/index.php/doplnkove-sluzby	C:/vmdStavby/VMDStavby/vmdstavby.cz/index.php/doplnkove-sluzby.html	(from )
23:12:44	47354/47354	---M--	200	added ('OK')	text/html	date:Thu,%2018%20Apr%202013%2021:12:39%20GMT	http://vmdstavby.cz/index.php/galerie	C:/vmdStavby/VMDStavby/vmdstavby.cz/index.php/galerie.html	(from )
23:12:44	19562/19562	---M--	200	added ('OK')	text/html	date:Thu,%2018%20Apr%202013%2021:12:39%20GMT	http://vmdstavby.cz/index.php/dotazy	C:/vmdStavby/VMDStavby/vmdstavby.cz/index.php/dotazy.html	(from )
23:12:45	22738/22738	---M--	200	added ('OK')	text/html	date:Thu,%2018%20Apr%202013%2021:12:39%20GMT	http://vmdstavby.cz/index.php/kontakt	C:/vmdStavby/VMDStavby/vmdstavby.cz/index.php/kontakt.html	(from )
23:12:45	625/625	---M--	200	added ('OK')	image/png	etag:%2224a45f4-271-4c20b37e49a40%22	http://vmdstavby.cz/modules/mod_jp_smooth_gallery/smooth_gallery/images/fleche1.png	C:/vmdStavby/VMDStavby/vmdstavby.cz/modules/mod_jp_smooth_gallery/smooth_gallery/images/fleche1.png	(from http://vmdstavby.cz/)
23:12:46	622/622	---M--	200	added ('OK')	image/png	etag:%2224a45bc-26e-4c20b37e49a40%22	http://vmdstavby.cz/modules/mod_jp_smooth_gallery/smooth_gallery/images/fleche2.png	C:/vmdStavby/VMDStavby/vmdstavby.cz/modules/mod_jp_smooth_gallery/smooth_gallery/images/fleche2.png	(from http://vmdstavby.cz/)
